name,text,duration,start_clock,end_sec,start_sec,start_min,end_min,video_id
Anne Paulin,"Tak for det, formand. Lovforslag L 90, som vi behandler nu, er af meget teknisk karakter, og det er fremsat på baggrund af en udtalelse fra Europa-Kommissionen vedrørende gennemførelsen af miljøansvarsdirektivet. Udtalelsen skyldes, at Kommissionen vurderer, at det i den danske lovgivning ikke er klart nok defineret, hvilke persongrupper der har ret til at anmode om foranstaltninger vedrørende miljøskade eller klage over myndighedernes afgørelser. Med lovforslaget her præciseres den danske lovgivning til at have den samme ordlyd som direktivet, og det støtter Socialdemokratiet.",35.0,13:04:03,308,273,0:04:33,0:05:08,40
Søren Gade,"Tak for det. Der er ingen korte bemærkninger, så vi siger tak til fru Anne Paulin fra Socialdemokratiet. Jeg byder nu velkommen til hr. Erling Bonnesen fra Venstre.",14.0,13:04:38,322,308,0:05:08,0:05:22,40
Erling Bonnesen,"Mange tak for det. Venstre støtter også lovforslaget. Det er netop blevet så glimrende gennemgået af den foregående ordfører, så der er ingen grund til at gentage det. Venstre støtter lovforslaget.",9.0,13:04:52,331,322,0:05:22,0:05:31,40
Søren Gade,"Tak for det. Der er ingen korte bemærkninger, så vi siger tak til hr. Erling Bonnesen fra Venstre. Jeg byder nu velkommen til fru Marianne Bigum fra Socialistisk Folkeparti.",23.0,13:05:01,354,331,0:05:31,0:05:54,40
Marianne Bigum,"Vi har fået en udtalelse fra EU, som egentlig har en konklusion om, at det her direktiv, vi har, ikke er gennemført tilstrækkelig klart og præcist i dansk ret, hvorfor den danske lovgivning ikke giver borgerne tilstrækkelig retssikkerhed. Ud over at sidde med en masser af miljøsagerne har jeg også fornøjelsen af at være vores EU-ordfører, og jeg husker den første åbningsskrivelse fra Kommissionen, en mail, der lød på traktatbrud, og jeg panikkede: Det kan vi ikke have, hvad gør vi her? Så blev jeg af mere erfarne kræfter belært om, at dem får vi mange af. Så jeg er egentlig rigtig glad for, at vi her er ved at rette op på noget af det, som vi har fået en udtalelse fra EU om, nemlig at vi ikke gennemfører det godt nok. For det er jo faktisk ret alvorligt, når vi får at vide, at vi ikke giver borgerne tilstrækkelig retssikkerhed, og det skal vi selvfølgelig rette op på. Derfor undrer det mig en lille smule, når der så samtidig står i lovforslaget, at lovforslaget alene indebærer en præcisering af gældende ret og medfører ikke ændringer i retstilstanden. Det kan godt være, at det bare er ord, og at vi, hvis bare vi får ændret dem, får en bedre retstilstand, men jeg har simpelt hen ikke været helt sikker på, om jeg kunne læse det. Umiddelbart tænker jeg, at vi, når vi får en udtalelse fra EU, som siger, at vi simpelt hen ikke gør det her tilstrækkeligt, og så går i salen for at ændre dansk lov med den præcisering, at det faktisk ikke ændrer på retstilstanden, egentlig så er lige vidt. Derfor er jeg nysgerrig på, om vi gør det her godt nok, og det kommer vi til at stille nogle spørgsmål til i behandlingen af det her lovforslag, sådan at vi, hvis det er sådan, at der er tale om en praksis, som simpelt hen ikke er god nok, er helt sikre på, at vi får gjort op med den her mangelfulde retstilstand, som der åbenbart er. Men vi ser i SF frem til den videre behandling af sagen, og vi glæder os i hvert fald til at tage fat i et af de udeståender, vi har med EU, i forhold til opdatering af vores lovgivning.",136.0,13:05:24,490,354,0:05:54,0:08:10,40
Søren Gade,"Tak for det. Der er ingen korte bemærkninger, så vi siger tak til fru Marianne Bigum fra Socialistisk Folkeparti. Jeg byder nu velkommen til fru Charlotte Bagge Hansen fra Moderaterne",8.0,13:07:40,498,490,0:08:10,0:08:18,40
Charlotte Bagge Hansen,"Tak for det, formand, og tak for en god og grundig gennemgang til min socialdemokratiske kollega. Jeg vil sige, at lovforslaget her gør det lettere for alle borgere at forstå og udøve deres rettigheder i forhold til miljøskader, så derfor støtter vi naturligvis forslaget.",26.0,13:07:48,524,498,0:08:18,0:08:44,40
Søren Gade,Tak for det. Der er ingen korte bemærkninger. Vi siger tak til fru Charlotte Bagge Hansen fra Moderaterne. Jeg byder nu velkommen til hr. Hans Kristian Skibby fra Danmarksdemokraterne.,2.0,13:08:14,526,524,0:08:44,0:08:46,40
Hans Kristian Skibby,"Tak. Jeg vil gerne lige allerførst sige, at hvis det skulle være en god og grundig gennemgang af Socialdemokraternes ordfører, er der andre gange, hvor jeg i hvert fald har oplevet den endnu mere grundig, vil jeg gerne sige. Men jeg anerkender selvfølgelig også, at det ikke er det mest vidtgående lovforslag, som vi behandler her i dag. Det er et mindre lovforslag, som sikrer en bedre præcisering af borgernes retsgrundlag i forhold til miljøskader. Det er jo sådan, hvis man kigger på Europa-Kommissionen, at så har den jo konkluderet, at dele af det her miljøansvarsdirektiv ikke var tilstrækkelig gennemført i dansk lovgivning, og at det ikke var klart præciseret, hvilke regler og vilkår der var i forhold til den enkelte borger. Det er det, der forsøges gjort med det her lovforslag, og det støtter Danmarksdemokraterne.",53.0,13:08:16,579,526,0:08:46,0:09:39,40
Søren Gade,"Tak for det. Der er ingen korte bemærkninger. Vi siger tak til hr. Hans Kristian Skibby fra Danmarksdemokraterne, og jeg byder nu velkommen til hr. Alexander Ryle fra Liberal Alliance.",13.0,13:09:09,592,579,0:09:39,0:09:52,40
