name,text,duration,start_clock,end_sec,start_sec,start_min,end_min,video_id
Sascha Faxe,"Tak, og tak til ministeren for at komme. Spørgsmålet er: Finder regeringen det moralsk forsvarligt, at danske virksomheder med henvisning til en rammegodkendelse sælger komponenter til våben, som risikerer at blive anvendt til krigsforbrydelser?",17.0,13:00:36,102,85,0:01:25,0:01:42,41
Søren Gade,Udenrigsministeren.,2.0,13:00:53,104,102,0:01:42,0:01:44,41
Lars Løkke Rasmussen,"Det er sådan i Danmark, at det er  Rigspolitiet, der udsteder tilladelser til eksport af forsvarsmateriel, og så skal Udenrigsministeriet høres i alle sager om direkte eksport til Israel og især om eksport via et andet land. Her foretager vi så en konkret udenrigs- og sikkerhedspolitisk vurdering. Når danske virksomheder er underleverandører til bi- og multilaterale samarbejdsprojekter om f.eks. F-35-programmet, foregår eksportkontrollen som regel alene med USA som modtager, da det på ansøgningstidspunktet jo er helt ukendt, hvor de her fly ender op. Der er det så, vi foretager en rammevurdering. Den foretager vi for så vidt angår EU-, EFTA- og NATO-lande, og den bygger på en vurdering af forholdene i landene samt deres evne til at gennemføre effektiv eksportkontrol, og det revurderes løbende i lyset af udviklingen. Aktuelt er det så sådan, at når vi snakker de her rammegodkendelser, omfatter de ikke – selv om jeg nævnte EU, EFTA og NATO – Tyrkiet, fordi Tyrkiet jo konkret er involveret i konflikten i Syrien. Men ellers er det sådan, at når vi har lavet en rammevurdering, bliver vi ikke hørt, når der er tale om en kendt slutbruger uden for de omfattede lande. Det er vores vurdering, at det her er helt i overensstemmelse med vores EU-retlige og internationale forpligtelser. For en uddybning af det kan jeg henvise til et svar, jeg har givet til Udenrigsudvalget på spørgsmål 59, hvor jeg sådan mere omfattende har redegjort for dansk praksis for eksportkontrol. Vi lægger stor vægt på dansk deltagelse i F-35-programmet. Det er afgørende for vores sikkerhed. Det foregår i tæt samarbejde med vores vigtigste allierede, og det er sådan set baggrunden for, at vi administrerer området på den måde, vi administrerer det på.",132.0,13:00:55,236,104,0:01:44,0:03:56,41
Søren Gade,Fru Sascha Faxe.,0.0,13:03:07,236,236,0:03:56,0:03:56,41
Sascha Faxe,"Tak for det svar. I det, ministeren siger, bliver der også talt om en kendt slutbruger. Der tænker jeg, at der i det her tilfælde er tale om Israel. Jeg er med på rammegodkendelsernes måde at fungere på. Men det, jeg gerne vil spørge ind til her, er faktisk det moralske i det, og det følte jeg ikke helt jeg fik et svar på, så jeg stiller spørgsmålet igen: Finder ministeren det moralsk forsvarligt, at vi sælger våbendele til udlandet, uden at vi har en seriøs bekymring om og kontrol med, hvor de færdige våben bliver sendt hen?",34.0,13:03:07,270,236,0:03:56,0:04:30,41
Søren Gade,Udenrigsministeren.,1.0,13:03:41,271,270,0:04:30,0:04:31,41
Lars Løkke Rasmussen,"Men vi har jo sådan set også en grundig vurdering, idet vi dog bare er nødt til at forholde os realistisk til, at det må tilrettelægges forskelligt, afhængigt af om det er en direkte dansk våbeneksport til et land, vi ved hvilket land er. Hvis det f.eks. er sådan, at danske våbenproducenter, forsvarsindustrien, vil eksportere til Israel, så foretager vi en konkret vurdering. Hvis der derimod er tale om delkomponenter, der indgår i et rammesamarbejde, vi har – og det er det, vi har med F-35 – så ville vi jo ligesom ikke meningsfuldt kunne gøre det anderledes end den måde, vi gør det på. Og der foretager vi så den her rammevurdering. Hvis ikke vi valgte den metode – kald det moral eller ikke moral – så ville vi sætte os selv udenfor at kunne deltage i sådan nogle rammeprogrammer, og det ville ikke være i overensstemmelse med en god varetagelse af Danmarks hverken sikkerhedspolitiske eller i øvrigt industripolitiske interesser.",54.0,13:03:42,325,271,0:04:31,0:05:25,41
Søren Gade,Fru Sascha Faxe.,1.0,13:04:36,326,325,0:05:25,0:05:26,41
Sascha Faxe,"Jeg er helt med på, at der ligger nogle forskellige ting i den sammenhæng. Jeg ved også, at nogle lande ikke tillader videresalg, før man har været inde over det, f.eks. så vi med Leoparden, der blev sendt til Ukraine, at Tyskland først skulle spørges. Så i en eller anden udstrækning tænker jeg, spørgsmålet må være: Er det, ministeren i virkeligheden siger, at vi, når vi eksporterer våbendele, så også i samme ombæring overdrager en del af det moralske ansvar til USA? Der kunne jeg godt tænke mig at høre, om det er det, ministeren mener, altså eksporterer vi også vores moralske ansvar i samme ombæring?",35.0,13:04:37,361,326,0:05:26,0:06:01,41
Søren Gade,Udenrigsministeren.,2.0,13:05:12,363,361,0:06:01,0:06:03,41
